id,wd_id,wp_id,slug,name,occupation,prob_ratio,gender,twitter,alive,l,hpi_raw,bplace_name,bplace_lat,bplace_lon,bplace_geonameid,bplace_country,birthdate,birthyear,dplace_name,dplace_lat,dplace_lon,dplace_geonameid,dplace_country,deathdate,deathyear,bplace_geacron_name,dplace_geacron_name,is_group,l_,age,non_en_page_views,coefficient_of_variation,hpi
3320595,Q376930,3320595,Steve_Perryman,Steve Perryman,SOCCER PLAYER,46.96624954333415,F,,True,40,19,Ealing,51.5175,-0.2988,150301.0,United Kingdom,1951-12-21,1951.0,,,,,,,,United Kingdom,,False,2.929176822644552,69.0,7969.0,4.55660492395218,57.1568683676863
1796258,Q59608,1796258,Jackie_Blanchflower,Jackie Blanchflower,SOCCER PLAYER,845.4126325183606,F,,False,17,19,Belfast,54.59638889,-5.93,5046.0,United Kingdom,1933-03-07,1933.0,Manchester,53.47944444,-2.24527778,20206.0,United Kingdom,1998-09-02,1998.0,United Kingdom,,False,2.4403239873098084,87.0,7990.0,3.064363690173672,56.82245900670883
12130918,Q646839,12130918,George_Moorhouse,George Moorhouse,SOCCER PLAYER,51.96251974120019,F,,False,15,18,Liverpool,53.4,-2.98333333,18081.0,United Kingdom,1901-04-04,1901.0,"Long Beach, New York",40.58805556,-73.68805556,126740.0,United States,1943-10-12,1943.0,United Kingdom,United States,False,4.57812790709708,119.0,722.0,1.9716521410120824,55.015712010928674
6146029,Q998752,6146029,Laurie_Hughes,Laurie Hughes,SOCCER PLAYER,81.09825200054621,F,,False,17,17,Liverpool,53.4,-2.98333333,18081.0,United Kingdom,1924-03-02,1924.0,Liverpool,53.4,-2.98333333,18081.0,United Kingdom,2011-09-09,2011.0,United Kingdom,,False,3.2606027787426606,96.0,730.0,2.778571976382827,52.74705691208476
12333141,Q1179411,12333141,"Tommy_Smith_(footballer,_born_1945)",Tommy Smith,SOCCER PLAYER,148.05630331071794,F,,False,19,16,Liverpool,53.4,-2.98333333,18081.0,United Kingdom,1945-04-05,1945.0,"Crosby, Merseyside",53.4872,-3.0343,321242.0,United Kingdom,2019-04-12,2019.0,United Kingdom,,False,1.674476432498238,75.0,4006.0,3.491021032057496,51.65859009045302
6297665,Q2706975,6297665,Peter_Brabrook,Peter Brabrook,SOCCER PLAYER,43.871217546090406,F,,False,15,16,Greenwich,51.48,0.0,95840.0,United Kingdom,1937-11-08,1937.0,Basildon,51.5761,0.4886,206423.0,United Kingdom,2016-12-10,2016.0,United Kingdom,,False,2.3015050482559087,83.0,580.0,2.8360887544685767,49.51907887480176
1498138,Q964290,1498138,Lou_Macari,Lou Macari,SOCCER PLAYER,8.03955112522627,F,loumacari10,True,18,15,Edinburgh,55.953,-3.189,9602.0,United Kingdom,1949-06-07,1949.0,,,,,,,,United Kingdom,,False,1.2650671675683682,71.0,3584.0,3.725964472401179,48.22645998166285
1151011,Q494913,1151011,Dalian_Atkinson,Dalian Atkinson,SOCCER PLAYER,23.38566916375164,F,,False,19,14,Shrewsbury,52.708,-2.754,23772249.0,United Kingdom,1968-03-21,1968.0,Telford,52.6766,-2.4469,199097.0,United Kingdom,2016-08-15,2016.0,United Kingdom,,False,2.09774276832518,52.0,7499.0,3.4510254020786,46.57813130304739
649884,Q263951,649884,Mark_Lawrenson,Mark Lawrenson,SOCCER PLAYER,65.32017271071703,F,,True,21,14,"Preston, Lancashire",53.759,-2.699,88918.0,United Kingdom,1957-06-02,1957.0,,,,,,,,United Kingdom,,False,1.3473087115041154,63.0,3703.0,4.033954073748486,46.49480876248861
37266823,Q10546516,37266823,Jill_Ellis,Jill Ellis,SOCCER PLAYER,5.655486135790545,F,,True,16,14,Portsmouth,50.80583333,-1.08722222,24207.0,United Kingdom,1966-09-06,1966.0,,,,,,,,United Kingdom,,False,1.9093705442162483,54.0,5375.0,3.119717847069608,45.37184913918928
1924626,Q706818,1924626,Clive_Allen,Clive Allen,SOCCER PLAYER,42.3579034240678,F,,True,17,14,Stepney,51.5152,-0.0462,94299.0,United Kingdom,1961-05-20,1961.0,,,,,,,,United Kingdom,,False,1.4853444226635444,59.0,4349.0,3.588222336975851,45.26316557681014
