id,wd_id,wp_id,slug,name,occupation,prob_ratio,gender,twitter,alive,l,hpi_raw,bplace_name,bplace_lat,bplace_lon,bplace_geonameid,bplace_country,birthdate,birthyear,dplace_name,dplace_lat,dplace_lon,dplace_geonameid,dplace_country,deathdate,deathyear,bplace_geacron_name,dplace_geacron_name,is_group,l_,age,non_en_page_views,coefficient_of_variation,hpi
1127485,Q360524,1127485,Bert_Patenaude,Bert Patenaude,SOCCER PLAYER,104.02780922735944,M,,False,29,21,"Fall River, Massachusetts",41.70138889,-71.15555556,116713.0,United States,1909-11-04,1909.0,"Fall River, Massachusetts",41.70138889,-71.15555556,116713.0,United States,1974-11-04,1974.0,United States,,False,4.920714920160779,111.0,5312.0,3.161687875957341,62.292238972468816
437329,Q431216,437329,Bruce_Arena,Bruce Arena,SOCCER PLAYER,17.42209750082281,M,,True,29,19,Brooklyn,40.69277778,-73.99027778,47384.0,United States,1951-09-21,1951.0,,,,,,,,United States,,False,3.194574707806984,69.0,14613.0,3.778313947279897,57.95971822556369
773306,Q363257,773306,Claudio_Reyna,Claudio Reyna,SOCCER PLAYER,22.06358628900209,M,,True,30,19,"Livingston, New Jersey",40.785828,-74.3291,913710.0,United States,1973-07-20,1973.0,,,,,,,,United States,,False,3.8896221601906498,47.0,165714.0,3.4617601845200405,57.836803766270414
893236,Q168371,893236,Alexi_Lalas,Alexi Lalas,SOCCER PLAYER,78.34166542003902,M,AlexiLalas,True,27,19,"Birmingham, Michigan",42.54666667,-83.21138889,118323.0,United States,1970-06-01,1970.0,,,,,,,,United States,,False,4.899902095274124,50.0,63340.0,2.8474626080649337,57.59968278026674
1004160,Q464385,1004160,Cobi_Jones,Cobi Jones,SOCCER PLAYER,75.1625819880781,M,,True,29,18,Detroit,42.33138889,-83.04583333,8687.0,United States,1970-06-16,1970.0,,,,,,,,United States,,False,4.474337685146312,50.0,30704.0,3.271601454529929,55.36481232442241
1467060,Q221216,1467060,Giuseppe_Rossi,Giuseppe Rossi,SOCCER PLAYER,0.0,M,giusepperossi22,True,39,18,"Teaneck, New Jersey",40.890317,-74.011478,125011.0,United States,1987-02-01,1987.0,,,,,,,,United States,,False,4.764346249488961,33.0,162686.0,3.347612599429719,55.21082433753291
566471,Q241378,566471,Brad_Friedel,Brad Friedel,SOCCER PLAYER,0.0,M,,True,41,18,"Lakewood, Ohio",41.48083333,-81.80027778,129097.0,United States,1971-05-18,1971.0,,,,,,,,United States,,True,3.1744000653369264,49.0,36294.0,4.688571999167326,54.556662055719634
3104759,Q2527087,3104759,Walter_Bahr,Walter Bahr,SOCCER PLAYER,20.469307118992525,M,,False,18,18,Philadelphia,39.95277778,-75.16361111,50585.0,United States,1927-04-01,1927.0,"Boalsburg, Pennsylvania",40.78277778,-77.78694444,131754.0,United States,2018-06-18,2018.0,United States,,False,2.846709547143413,93.0,1918.0,3.028353986801098,54.48145390585411
912174,Q735119,912174,Tony_Meola,Tony Meola,SOCCER PLAYER,134.6368074003758,M,,True,24,18,"Belleville, New Jersey",40.793481,-74.161159,125154.0,United States,1969-02-21,1969.0,,,,,,,,United States,,False,4.860482715202849,51.0,18431.0,2.613613993544272,54.47397364339803
2305889,Q207464,2305889,Oguchi_Onyewu,Oguchi Onyewu,SOCCER PLAYER,0.0,M,OGUCHIONYEWU5,True,37,17,"Washington, D.C.",38.90472222,-77.01638889,108956.0,United States,1982-05-13,1982.0,,,,,,,,United States,,False,5.235752068532635,38.0,43674.0,3.3658106864603208,53.94611487518216
934982,Q541952,934982,Marcelo_Balboa,Marcelo Balboa,SOCCER PLAYER,14.793818684119316,M,,True,22,17,Chicago,41.88194444,-87.62777778,6886.0,United States,1967-08-08,1967.0,,,,,,,,United States,,True,4.299413591521018,53.0,10042.0,2.721403584917729,52.51792881028343
20592344,Q558820,20592344,Gōtoku_Sakai,Gōtoku Sakai,SOCCER PLAYER,0.0,M,sakai_go1123,True,60,16,New York City,40.71274,-74.005974,645042.0,United States,1991-03-14,1991.0,,,,,,,,United States,,True,2.230393634078434,29.0,194563.0,6.063488365894037,51.08515624611419
1084490,Q208425,1084490,Michael_Bradley_(soccer),Michael Bradley,SOCCER PLAYER,0.0,M,,True,40,16,"Princeton, New Jersey",40.358244,-74.666728,84658.0,United States,1987-07-31,1987.0,,,,,,,,United States,,True,4.150466548574493,33.0,45152.0,4.04974556022798,51.004044679457365
62931,Q1338912,62931,Sonny_Carter,Sonny Carter,SOCCER PLAYER,2.4186445343707,M,,False,20,16,"Macon, Georgia",32.83472222,-83.65166667,109888.0,United States,1947-08-15,1947.0,"Brunswick, Georgia",31.14972222,-81.49138889,110120.0,United States,1991-04-05,1991.0,United States,,False,1.949233072591335,73.0,2593.0,3.561682530920676,50.87034790548745
54457063,Q31871265,54457063,Timothy_Weah,Timothy Weah,SOCCER PLAYER,121.41348858825904,M,OfficialTimWeah,True,22,16,Brooklyn,40.69277778,-73.99027778,47384.0,United States,2000-02-22,2000.0,,,,,,,,United States,,True,7.123491457894476,20.0,93641.0,1.6314199872404953,49.85679557438165
1007534,Q314366,1007534,Brian_McBride,Brian McBride,SOCCER PLAYER,45.07592387199232,M,,True,29,16,"Arlington Heights, Illinois",42.095,-87.98083333,110940.0,United States,1972-06-19,1972.0,,,,,,,,United States,,True,2.7261928742259327,48.0,14744.0,4.128089728030671,49.822208490148284
10919134,Q208619,10919134,Jozy_Altidore,Jozy Altidore,SOCCER PLAYER,0.0,M,JozyAltidore,True,38,15,"Livingston, New Jersey",40.785828,-74.3291,913710.0,United States,1989-11-06,1989.0,,,,,,,,United States,,True,3.4120486561823644,31.0,48252.0,4.344543032003598,49.03783867607356
1123834,Q310928,1123834,Steve_Cherundolo,Steve Cherundolo,SOCCER PLAYER,0.0,M,,True,33,15,"Rockford, Illinois",42.25944444,-89.06444444,112090.0,United States,1979-02-19,1979.0,,,,,,,,United States,,True,3.970408500592121,41.0,8520.0,3.659976494516737,48.814978372302704
2444265,Q464216,2444265,Eddie_Gustafsson,Eddie Gustafsson,SOCCER PLAYER,142.4757998139585,M,,True,19,15,Philadelphia,39.95277778,-75.16361111,50585.0,United States,1977-01-31,1977.0,,,,,,,,United States,,False,6.09876141513583,43.0,3853.0,1.7236952638651084,48.81020687848334
2323068,Q310705,2323068,Brede_Hangeland,Brede Hangeland,SOCCER PLAYER,0.0,M,,True,32,15,Houston,29.76277778,-95.38305556,13774.0,United States,1981-06-20,1981.0,,,,,,,,United States,,False,3.48189379299407,39.0,14533.0,3.630733729602889,48.646017100719504
567909,Q313035,567909,DaMarcus_Beasley,DaMarcus Beasley,SOCCER PLAYER,0.0,M,DaMarcusBeasley,True,32,15,Indiana,40.0,-86.0,21883857.0,United States,1982-05-24,1982.0,,,,,,,,United States,,False,3.2020607301105564,38.0,20100.0,4.027768821883892,48.421033956563896
1528132,Q708694,1528132,Gregg_Berhalter,Gregg Berhalter,SOCCER PLAYER,18.711930717056216,M,,True,20,15,"Englewood, New Jersey",40.891197,-73.972515,124980.0,United States,1973-08-01,1973.0,,,,,,,,United States,,False,2.8410787766797387,47.0,13419.0,3.2240738043962014,48.2168720437444
1465655,Q219167,1465655,Brad_Guzan,Brad Guzan,SOCCER PLAYER,0.0,M,,True,33,15,"Evergreen Park, Illinois",41.72,-87.7025,110976.0,United States,1984-09-09,1984.0,,,,,,,,United States,,True,2.9907546119527963,36.0,18079.0,4.099420478178209,47.212615426053816
887439,Q471669,887439,Eddie_Pope,Eddie Pope,SOCCER PLAYER,15.930950925101056,M,,True,25,15,"Greensboro, North Carolina",36.08,-79.81944444,77884.0,United States,1973-12-24,1973.0,,,,,,,,United States,,True,3.226332343595039,47.0,4162.0,3.4616276711400764,46.87571462683773
1076595,Q1332961,1076595,John_O'Brien_(soccer),John O'Brien,SOCCER PLAYER,30.92352527852708,M,,True,17,14,Los Angeles,34.05,-118.25,18110.0,United States,1977-08-29,1977.0,,,,,,,,United States,,False,3.9305294629884298,43.0,5559.0,2.4782202454038096,46.09006505731903
